AR;Alto Rendimiento
ART;Artista
ATL;Atleta
CD;Equivalencia (Profesionalización)
COP;Cambio de Opción
CP;Carreras Paralelas
CU;Consejo Universitario
CV;Convenio ULA_Gremios
DIS;Discapacidad
EI;Población Indígena
EQU;Equivalencia 
OPS;Oficina de Planificación del Sector Universitario -OPSU-
PA;IPES: Prueba de Actitud Musical
PRO;IPES: Curso Propedéutico
PS;IPES: Prueba de Habilidades Específicas
REC;Recuperación de Cupo
RU;Programa Fray Juan Ramos de Lora
SAB;Acreditación de Saberes
TRA;Traslado
TRIB;Sentencia de Tribunal
